sentence,profane
putangina na gets ko yung partnership haha pwede na ako matulog yay,1
nagugutom ako punyeta,1
punyeta para kanino ba talaga kayo,1
ulol manigas ka,1
putangina mo di sapat yung pakyu pakyu lang,1
yung sinabihan ako ng bobo ng player namen sa early game,1
kupal din ako kaya wag ako,1
kahit bobo mo pumana,1
bwiset ayoko na,1
haha punyeta kayo,1
bwiset ka hoy,1
malungkot na nga ako tapos bobo pa ako ano perfect combination ka beh haha,1
di kami talo ni lm pucha haha,1
move on daw si tanga awra haha pero ilang bean lang mag mamakaawa nanaman kay zebby yan haha,1
exam na naman sa major pucha,1
ano yan tanga wala din akong load,1
nahihilo na ako punyeta,1
shan zamoro mabango mabait tarantado mahilig magbasa,1
tanga ni pia mamamatay ako eh,1
kupal dami mo kill sa dr haha,1
ang hirap kumain huhu bwiset na wisdom tooth,1
tangina nang lalamig ako,1
hindi yung gumawa ka pa ng memories bago ka umalis haha tanga,1
kita ko si aj dito sa ibbara pakyu agad bungad haha,1
tarantado talaga si jheld at aj,1
tangina niyong mga ulol palibhasa manok lang alam nyong alagaan kaya salbahe kayo sa aso eh,1
tagal mapuno ng jeep punyeta hulas na pagkatao ko,1
deserve mo rin yang magkalagnat masakit lalamunan at sinisipon pakyu,1
hindi nga ako nagkakanin puro naman candy pinagkakain ko puta,1
nagpapapansin parin pala si asong ulol dabid,1
puta nakailang hampas na siya,1
ate may bwiset nanaman sa kabilang baranggay,1
tangina sinabihang panget pero in a sosyal way,1
tangina mo pwede bang sa akin ka lang,1
ang kupal nito,1
huy pasabi naman ako kung mag unfollow kayo mga tarantado,1
tarantado ka cy,1
bwiset lagi nandon yung manyak na lalaki nakakatakot na,1
ang hirap naman makipag unahan sa snazzymnla pucha,1
ako ulol na ulol sayo,1
puta panandaliang saya haha,1
sa promise ni maam pakyu,1
kakainis ka pa ah tanga gamit ko yan kukunin mo,1
tangina mo skusta shit at sa bago mong jowa kupal mga demonyo proud pa kayo mga animal napaka insensitive niyo kakalaglag lang ng baby ni zeb mga walang puso proud pa kayo sa social media na kayo talaga eh no once a pokpok always a pokpok talaga grr kala mo naman magtatagal sila,1
gago kinikilig nanaman ako punyeta,1
sabi na eh gago ka talaga pucha,1
di lang ikaw by juris beh putangina ily,1
alam para akong tanga dito sa twitter alam mo yon haha,1
tanginang buhay itoh bwiset,1
bobo po talaga ako,1
putangina talaga kayo,1
punyeta twitter kung ayaw mo mag play ng vids edi wag shuta haha,1
pakshet yung mga ex na gumagamit ng family card hmp sino ba naman kami diba syempre babalik yan,1
pagkatapos iwan ng ilang taon ay di na ibabalik sa nag hirap eh kupal,1
huy para kayong tanga seryoso ba ito,1
tangina mo haha,1
wala nagmukha tuloy ako tanga,1
pakyu hindi nga kasi ako yun,1
pucha teh gamit na gamit ang pepe ni gaga,1
lmao formal attire haha di bagay sakin mukha akong tanga,1
puta dalawang buwan pa,1
kailangan ko na humagilap ng pera puta ubos ata laman ng gcash ko neto ah haha,1
ikaw tanga ka ba,1
pansin ko nga pakyu ka haha,1
gusto ko nalang maging logo ng nike pucha naman,1
tangina hanggang ngayon isip bata ka parin tsk tsk kawawang nilalang,1
naghintay na naman ako sa tanga,1
ulol na ulol na naman ako sa smf tsaka hindi sa pagiging bias pero sana ayusin naman yung pag judge yun lang,1
punyeta sino ba yang nagsusunog,1
yung whisper puta normal bang nakakakiliti yun,1
hala pakshet ang pretty mo naiiyak ako awit,1
naiyak nalang ako gago hinintay ko yung part niya na matapos sa ilang linggo tapos sinend sakin yung sinend ko sa kaniya na sagot ng participant ni copy paste niya yun,1
pag walang teleprompter kung ano lang sasabihin niyang tanga na yan,1
sandali nawala ulol ko sa taekook,1
hindi ko talaga alam sa mga tao na gumagamit ng pictures ng iba eh wala ba kayong pagmumukha hindi na kayo nahiya pakshet kayo,1
pucha muntik akong atakihin sa puso nung nagseen si maam lol thank you po,1
tangina bakit haha may sumpa ba ko haha,1
ilabas niyo nalang nagastos ng nanay niyo na isa ring ulol,1
talaga ba rara ulol,1
gago anlakas naman ata nun,1
hindi binabawi ko na hindi ako tanga ok kasalanan ng google keep yon ayaw mag sync,1
uy hindi ah ano ako ulol haha tarantado ka talaga kalbo haha,1
hindi ba mga tarantado eh,1
kupal niyo masyado porket malakas kayo,1
hindi masagot ng kasama mong tanga kung sino nag replica ng picasso painting,1
nakakaubos ng pasensya tong esign na app galing school amputa sa sobrang inis ko nahampas ko cp ko nang di ko narerealize na naka suot pala singsing ko puta buti di nabasag,1
kiss muna pakyu,1
haha syempre di ako nakakalimot tangina mo pa rin,1
ggx mamaya na kayo dumating ha maliligo lang haha punyeta ang tagal kasi,1
putangina ngayong birthday ko pa talaga umulan,1
pucha naman agnes,1
punyeta kayo deserve na deserve po mga mamsh,1
puta saan kayo malakas lang malakas kayo puro fake news ibalita,1
sa puntong ito ang pagsabi ng bagay tulad ng sakalin kita diyan sasapakin kita and the like arent effective anymore kasi masokista na kayong lahat tangina,1
ang plastic mo pakyu,1
tangina mo bobo,1
fuck wag kang sasabay sa thoughts ko ngayon punyeta gumagawa ako assignments bungol,1
haha maniwala tanga,1
mahal din kita sei kahit tarantado ka minsan,1
pakshet wag po bading ako,1
oh hindi ba tarantado ka talaga haha,1
tangina laking kahihiyan yun haha joke love you,1
parang tanga haruto haha,1
deserve mo yan sis mayen tanga ka eh,1
bobo nito oh tanga ka par,1
lakas mo magaya pinag antay mo pa sabay mag leleave ka gago ka ba,1
naririndi nako sa mga bwiset na ganto nag try ako sa gcash mga non gcash user hm mauutak din ha,1
gago lord teka what the fuck putangina niyo gago tarantado punyeta hayop animal putangina,1
puta iniiyakan ko concert videos ng bangtan ngayon,1
manahimik ka nalang bwiset,1
tapos na maliligayang araw niyo gunggong wala ka na sa pwesto talo kayo bobo,1
putangina mo naman patahimikin mo na itong post,1
gago ang sakit sa pinas pa lang ba meron bakit wala pa sa akin,1
grabe naman ulol na talaga ako sa dalawang p ngayon,1
gago bakit ganon init ng hangin ng fan ko,1
wala nga kasing alam bobo ka ba,1
gabi gabi na lang ba ako makakarinig ng walang sawang pagalit galing sa inyo haha drain na drain na ako ulol,1
introvert na ginawang leader pucha nag jojoke ba kayo,1
mukha nanaman akong ulol kakangiti dahil sayo aba aba haha,1
tapos magrereklamo ka kasi gusto mo nang mawala yung sakit gago ka pala eh tarantado amputa balimbing,1
laki ng noo mo pero ang tanga mo,1
putangina talaga ng mga ito,1
lagi kong nakakalimutan na tarantado nga pala si jeonghan haha,1
ito nanaman ako tangina,1
pakshet ang sakit niyo,1
napanaginipan ko si yunjin my love pakshet ang ganda,1
nahulog phone ko sa mukha ko tangina yan,1
game kase tarantado rin keyboard ko,1
gago may pa yan tas pinasa mo nung june loko,1
kasi bobo rin pangulo ng usa ngayon si biden,1
tapos may iba naman kahit malayo sayo biglang bubusina nang malakas ang mga tanga,1
ay gago ayan na,1
nag stupid reason pa ako sa kaniya puta ang sakit sa kaniya noon tapos hinintay pa niya reply ko gago amputa,1
atleast hotdog masarap ikaw puta na nga ang asim pa,1
kupal ka hindi nararapat kay ate zeinab at baby biga ang lalaking katulad mo,1
sabi ko magascend na ako kapag natapos ko na natitirang quests ko sa inazuma kaso tinatamad pa ako pucha,1
talagang tarantado si van i pati sya nakikidede kay klio,1
ulol pag ako nagkaron ng abunjing abunjing who u ka sakin,1
bakit ka ba gago,1
ganda ni nayeon putangina,1
dami nagagawa ng pera tangina pagawa mo na mukha mo para di nakakahiya sayo kahit magcheat kang kupal ka bagay kayo ng kasama mo bayaran,1
ulol di ka na mareach,1
ang hirap magpa rank up haha nakaka ulol,1
tangina pinagtulungan niyo pa ako magjowa ha pakyu,1
sabi ko gagawa ako ng reviewer ko for els puta wala pa ako sa kalahati ng lesson yung pagiging procaztinator ko pa lumalabas ulit,1
tangina kung pwede lang mag back out sa paluwagan gagawin ko eh mawalan lang ako communication sa inyo,1
pakshet ang gagwapo,1
tangina bobo bakit kasi birthday ng kaibigan ko nilagay ko dun,1
meron na akong plot sa au kong hajeongwoo pero di ako marunong mag prompt pucha kung ano man tawag doon sa intro chu chu,1
haha baka bilyon nako mapagpanggap talaga napaka sinungaling pa palibhasa presidente halal ng vcm lang yan kupal na yan,1
james natapos ko siya ng days at iniyakan ko yan pakshet,1
di ba parang mga asong ulol ang mga yan bigla na lang mananakmal haha,1
tarantado hindi mo ba binasa notes at saka tags,1
pickaw ang asim mo baliw pakyu,1
puro louisse nanaman naririnig ko sa pamamahay na to putangina parang ako lang anak,1
magdrodrop na ba ako hala pakshet,1
pucha ka talaga kapatid nabalik na naman ako sa academic stress phase dahil sayo,1
tangina niyo,1
bobo anong walang mawawala iggive up mo nga scholarship mo eh,1
pakyu shoppe birthday niya na bukas please lang,1
ulol na ulol na po ako,1
gago ka kailanman hindi pinagpapala ang ganyang uri ng tao wait ka lang ng karma mo,1
wala akong macaption pakshet,1
gabing gabi na natagpuan nanaman boang si wacky tarantado ka beh iyak lang ah bakit may ganyan,1
ay oo pala noh bobo ko sa part na yun tangina sa gabi nanaman magwawala parang niloloko nalang ata tayo ah,1
kairita naman lahat hindi na ako nakapagbreakdown nang maayos tangina,1
pucha ang dami dami ko na napanaginipan tapos mins palang pala akong natutulog taenang body clock to,1
gago yung lalaki namatok sakin nung class picture di man lang nag sorry,1
bwiset na araw toh lahat ng kamalasan nang yari sakin punyeta muntik pa mabangga,1
tangina sakit ng ngipin ko,1
anak ng pucha,1
tanga hindi ko mauubos itong ten kilos fresh from bicol,1
tangina ayaw ko na mag aral talaga bakit ganun,1
haha tarantado kamo sila,1
nakailang remix na ko niyan pucha,1
pag ako naspoil sa greys anatomy ha bwiset,1
cute cute si kuya klint magtanong ah bwiset haha,1
ito na ang adamson pucha tinrabaho talaga nila,1
ulol magreview ka nalang te,1
punyeta shiniship ako ng mama ko kay rets,1
pakshet naman late na ako,1
please lang putangina mo layu layuan mo girlfriend ko,1
epal tlaga ng mga tao sa omegle where u from beh nakalagay na sa interest beh bobo k,1
i volunteer na lang sa gustong gawin ni cinco pakilubog yung kupal na yan hanggang sa di siya makaahon,1
kinikilig ako na kinakabahan tangina mo gago animal hayop tarantado,1
bobo na magulang minana pa haha,1
kunwari di ko alam haha bobo,1
gago haha talino mo beh,1
tangina ka mas nakakadiri pagkatao mo tanga ka nga bobo ka ba sa ugali ka na nga lang babawi negative pa aba putangina ka diba,1
sino ang special guest pakshet,1
educate your fans naman minsan nagiging ulol na aso,1
umay naman ang sakit na ng dibdib ko pucha,1
perfect na sana tong the cabin chuchu wala lang internet mga bwiset na to nagdala pa akong laptop,1
deserving naman kahit gago pakyu ka,1
kupal gagoals daw kami,1
ang sakit sakit nyo haha nagiging hadlang talaga sa kasiyahan ko putangina naman,1
sakit ng ulo ko pucha,1
gago ang cute ng circus music video,1
tarantado talaga yang bf mo pag ako bf mo di kita gaganyanin,1
oh talaga ba may hiniram ba ako haha asan hiniram ko ulol,1
pucha ilang beses ko na pinanood haha,1
wow complete na makeups ko pero gamot ko sa allergies wala pa tanga yarns,1
naiisip pa kaya ako ng tatay ko hayop ka nagpunta ka pang pilipinas noon nung inuwi ako ng nanay ko from hong kong tapos bigla ka na naglaho tarantado ka,1
pre pakyu ka pre bawal,1
ulol ka po,1
tarantado yan eh haha,1
shit punyeta kaya ko ba itong computational data science,1
putangina mo ayos lang naman samin ang mayabang wag lang sinungaling hayop ka dinamay mo pa yung babae para ikaw magmukhang api pakyu pa victim,1
tanga nagdelete ng tweet dapat panindigan mo kakapalan ng mukha mo tukmol saan ka pinagpala may maiiyot ka na pokpok evey minute happy na yarn,1
putangina may gagawin pa pala ako nakalimutan ko pakshet,1
wala kayong ambag sa pag papaaral sa akin dahil sa scholarship ko iyan mga tanga,1
dont be surprised much dahil sa pambubudol nauso at kung ano ano pa din ng mga ulol,1
pakyu pag ako nanalo talaga sinasabi ko sayo dejoke malabo to,1
pag ako nabwiset mag girl in the mirror nalang ako punyeta,1
paano ba naman sasabihin naka bili na ng ticket tarantado boi sa sabado na yung concert haha,1
punta nga pala ako office pucha haha,1
tinuring niyo na trio pero kayo kayo lang naman palagi magkasama haha pakshet,1
parang tanga ang mga puta haha,1
never again ninjavan bakit pa kasi yan ginamit punyeta nanghahagis ng parcel,1
tangina pagod na pagod ako hayop,1
kahit j nagsisimula pangalan mo ill take the risk haha kasi pucha lahat nung nabanggit ko j pangalan nila ayoko nalang mag name drop haha,1
tangina ni sam lalong pinalaki yung gulo,1
tangina ng kidlat gago tarantado,1
tangina mo umurong luha ko beh,1
oo tapos kupal ka,1
ulol lalakero si vhong,1
basta maka marcos napaka bobo talaga marami dilawan,1
lakas mang judge ng tao eh ikaw din naman nagpapatulog ng lalaki dito hindi mo rin naman asawa tanga ka,1
