sentence,profane
kan enot panahon igwa nin pamilya nakaistar barangay santiago,0
an magagom makaspak pigbiyayaan nin duwang aki boboy asin bela,0
sarong aldaw habang namamasyar boboy asin bela nakahiling sinda nin sarong magayon harong,0
kadakol puon nin kahoy asin manlaenlaen masetas namumurak,0
nagayunan an duwa nahiling ninda kaya napagkasaruan ninda luogon an dakulang harong,0
kan makalaog an duwa nagduman tulos sinda higod kan harong,0
kadakol sindang nahiling burak asin kalibang bang,0
nangalas maray an duwa nahiling ninda,0
magayonon digdi bela gusto magdakop nin kalibangbang ni boboy,0
dai iyan gibohon boboy maraot maaanggot nanay asin tatay simbag ni bela,0
dai nagdangog boboy saiyang tugang,0
nagduman kalibangbang asin nagdakop kaini,0
nagralayog an kalibangbang nin huli ta natakot kay boboy,0
naanggot maray an reyna kan kalibangbang ginibo ni boboy,0
mayo kang pagkaherak aki ka dapat saimo pasakitan ka ni reynang floresa,0
pinasakitan boboy kan reyna asin ginibong bubuyog,0
nangyari sakuya taano nagbago an itsura halos maghiribi ni boboy,0
kan naging bubuyog boboy biglang nagbago an itsura kan reyna,0
dapat kang pasakitan ginibo mayo kang herak kalibangbang an kan reyna,0
pighanap ni bela an saiyang tugang pero dai niya ini nahiling boboy haen ka boboy,0
naguli nin solo bela,0
naghihibi asin takot pigistorya saiyang magurang an nagyari,0
nagbalik sinda harong kan reyna pero dai ninda ini nahiling pa,0
nin huli sobrang kamunduan ni bela pagkawara ni boboy nagtanom nin nagtanom nin puon kan kahoy gulay asin masetas nagbuburak saindang harden,0
dai nawaraan nin pagasa nasarong aldaw mabalik an solo niyang tugang boboy,0
poon kaito kadakol nagtutugdon kalibangbang asin bubuyog tanom ni bela,0
maogma siyang mahiling an ini ta saro nagtutugdon digdi iyo an saiyang tugang boboy,0
an tnga saka an tinapay,0
igwa nin sarong pamilya nin tnga,0
sarong aldaw igwa nin aki nagbibisikleta inapon nya an sobrang tinapay,0
igwa nin sarong tnga saka kapidasong tinapay dalan,0
hilinga kun pnong pirit binubutong kan maisog tnga an tinapay,0
binutong nya binutong alagad mayong nangyari,0
dai sya nawaran nin paglom,0
naghagad sya nin tabang saiyang katuod,0
mantang nagaarawitan bilog aldaw nindang tinutulod dangan hinihila an kariton,0
naabot man giraray ninda an burubuklod,0
iluwas tinapay para gabos an kan inang tnga,0
binaranga dangan pinagsaramaan ninda ini bilang pamanggihan,0
an bubuyog asin an elepante,0
nawawara kan saday bubuyog,0
dai mahanap sakung harong,0
pwde ba matabangan mr elepante,0
salag ba saimong harong saday bubuyog an elepante naghapot,0
bako kurahaw kan saday bubuyog harong iyan kang bayong,0
kweba ba saimung harong hapot kang elepante,0
bako harong iyan kang paniki,0
pukyutan ba saimong harong saday bubuyog,0
iyo maogmang kan saday bubuyog harong iyan,0
ulod harani bitis ni toto siram,0
tinuka ni tata an bulate,0
inisip ni toto inot nya ining nahiling,0
habong butsan ni toto an ulod,0
ihahapot ninda ki inay manok kun kiisay dapat mapaduman an ulod,0
abaa saro sainda an dapat mabirik siisay,0
pno sya makakasakat itaas,0
habong butasan ni toto an ulod,0
habo man butasan ni tata,0
nagtinuludan nagburutungan nakahawas sinda,0
nagsakat tata ibabaw kan gamot nin kahoy,0
an ulod naputol nabanga duwa,0
inay nakakua kami nin ulod,0
maogmang magdangog para makanuod,0
an lalaki asin babae parehong huba alagad dai sinda nasopog,0
nahiling kan babae magayon an kahoy asin garo masiram pagkakanon an bunga kaini patin naisip niya an kahoy makakatao nin kadonongan,0
kaya kuminua kan bunga dangan kuminakan dangan tinawan man niya an saiyang agom asin kuminakan man ini,0
dangan tinawan man niya an saiyang agom asin kuminakan man ini,0
pakatapos nindang magkakan nagkaigwa sinda nin pakasabot asin naaraman ninda sinda huba kaya nagtahi sinda nin dahon kan higera dangan ginibo ninda ining pantahob saindang hawak,0
nadangog taka tatamnan natakot kaya nagtago huli ta huba,0
tano ta ginibo ini,0
dinaya kan halas kaya nagkakan,0
dadagdagan an kulog titioson saimong pagbados asin pagaki alagad dai mawawara an saimong pagmawot para saimong agom asin an saimong pagkukuyogon,0
huli ta dinangog an saimong agom asin nagkakan ka kan bunga dai saimo ipinapakakan isinusumpa an daga huli saimo kaipuhan maglapigot ka pagtrabaho bilog mong buhay tanganing magkaigwa ka nin pagkakan,0
matalubo daga an doot saka tonok asin mapipiritan kang magkakan nin tinanom kadlagan,0
ngunyan arog satuya an tawo aram niya an marahay asin an maraot kaipuhan dai makakakan kan bunga kan kahoy nagtatao nin buhay asin mabuhay sagkod lamang,0
kun magtanom ka mayo kang aanihon ika magigin sarong paradulag asin sarong lagalag kinaban,0
paparaon ining tawo sakong linalang asin an hayop patin an gamgam huli ta nagbabasol kun tadaw ta ginibo pa sinda,0
nagpadagos pagibaba an tubig kaya enot aldaw kan ikasampolong bulan nahiling an alitoktok kan kabukidan,0
pagkabanggi nagbalik saiya an salampati darang bagong dahon nin oliba saiyang tuka,0
