Language,Profane Sentence,POS Pattern
bikol,magayunon na maray,
bikol,patalon ka talagang maray,
tagalog,bopols ka talaga,
bikol,garu ka gamadya,
tagalog,nakakainis ang mga nangyayare,
tagalog,mali mali mga nilalabas neto,
bikol,oragon ka boss,
tagalog,putanginang bobo mo,
tagalog,putangina lagi kang nandyan eh,
tagalog,mali ata ang detection na ginagawa neto,
cebuano,yawa ka bai,
bikol,patalon ang code na ini sarala baga,
bikol,sarala ang hayop,
bikol,makauragon ang bulininaniyang ini,
tagalog,mali ang censoring shuta,
bikol,bangan puros patal,
bikol,ito ay mga bago,
bikol,mali na naman ang nilabas,
bikol,ang daming bobo sa lugar na ito,
bikol,mali na naman ang nakuha,
tagalog,puta bobo mo,
cebuano,hayop ka,
cebuano,pota bakit ka andito,
tagalog,tangina talaga,
bikol,lininaniya urualdaw isira,
tagalog,pukingina tinalo nila yon,
tagalog,puta panalo,
bikol,mga puta ako ang harapin niyo,
cebuano,mga hayop ako harapin niyo,
tagalog,ako harapin niyo mga putangina,
cebuano,mao ug na yawa,
tagalog,tangina mo teh,
bikol,putcha nagtatalon ang gago,
bikol,para turon su patal,
<<<<<<< HEAD
bikol,lininaniyang gibuhon ini dae na natapos,
cebuano,buang na tua sa ubos,
bikol,kingina ka talaga wala ka na dapat dito sa mundo,
=======
tagalog,potangina ang bobo mo talaga,
tagalog,tangina na mo,
bikol,ang bobo mo talaga,
>>>>>>> 858896d6579ab43486c6773e49eefc0db668431e
tagalog,masaya akong nakilala kita at nakasama,
bikol,maogma akong namidmidan taka buda naka iba,
bikol,kingina ka talaga wala ka na dapat dito sa mundo,
bikol,nakipag away ka nanamang putangina ka,
bikol,pabigat ka sa buhay hayop ka,
tagalog,gagi bagsak ka pala eh galingan mo naman,
cebuano,bogo ka kayo,
cebuano,bogo ka kayo,
cebuano,buang na tua sa ubos,
cebuano,buang na tua sa ubos,
cebuano,buang na tua sa ubos,
bikol,yawa ka man bai,
cebuano,bogo ka kayo,
cebuano,tibayon ka talaga boi ika daw mag kawat kang sako,
cebuano,tibayon ka talaga boi ika daw mag kawat kang sako,
bikol,maray man ta nakaisip kapang umuling patal ka,
bikol,losi losion ang hamag na an,
tagalog,punyeta suso na nga lang nahulog pa,
bikol,yudeputa iuragan ang mga patal,
bikol,patalon ka talaga maski nuarin,
cebuano,losi lamang kaan na hamag,
bikol,paruton kang maray,
tagalog,pukingina mo sampalin kita jan,
cebuano,kauragon kang patal ka,
cebuano,hayop ka pati asawa ko inahas mo,
tagalog,punyeta hugasan mo lahat ng yan,
cebuano,san ka na naman pupuntang tanga ka,
bikol,yudeputa ta natakdag su aki,
tagalog,shuta dami naman niyan,
tagalog,ay masama pala yon,
tagalog,putangina mo mang aagaw ka,
bikol,tungagon ka gabos na gibo gibo mo sarala,
cebuano,hayop ka mang gagamit ka,
bikol,pucha kabadtrip ka ha,
tagalog,tangina mo bobo,
tagalog,tangina non halimaw eh,
tagalog,napaka gago mo kahit kailan,
tagalog,hayop na yan ako laging nakikita,
tagalog,kiskisin mo mukha mo gago,
bikol,maka patalon ang mga tawong ini,
tagalog,tangina nadapa yung bata,
bikol,ang bobo naman netong nakasabay ko,
bikol,punyeta ang nababasa,
cebuano,hayop ka mang aagaw,
bikol,nakakahiya ang nilalabas na resulta tangina,
